tipo_documento,documento,nombre,apellidos,telefono,email,fecha_nacimiento,direccion,activo,num_historia,alergias,observaciones
DNI,12345678A,Ana,Martínez López,600123456,ana.martinez@example.com,1985-04-12,"C/ Mayor 14, Madrid",1,HIST-0001,,
DNI,23456789B,Carlos,Gómez Ruiz,622334455,c.gomez@example.com,1978-11-03,"Av. de la Constitución 55, Sevilla",1,HIST-0002,Penicilina,
DNI,34567890C,Laura,Sánchez Ortiz,611223344,laura.sanchez@example.com,1992-02-20,"C/ Gran Vía 120, Madrid",1,HIST-0003,,
NIE,X1234567L,Mohamed,El Amrani,633221100,m.elamrani@example.com,1989-07-08,"C/ Alcalá 210, Madrid",1,HIST-0004,,
DNI,45678901D,Beatriz,Navarro Pérez,644555666,beatriz.navarro@example.com,1995-09-15,"C/ Larios 8, Málaga",1,HIST-0005,Lactosa,
DNI,56789012E,David,Rodríguez Mora,655666777,david.rodriguez@example.com,1982-01-27,"C/ Colón 3, Valencia",1,HIST-0006,,
DNI,67890123F,Inés,Prieto Alba,666777888,ines.prieto@example.com,1975-06-05,"C/ San Vicente 90, Valencia",1,HIST-0007,Polen,
PASAPORTE,P1234567,Lucía,Romero Vega,677888999,lucia.romero@example.com,1990-12-30,"C/ Atocha 33, Madrid",1,HIST-0008,,Seguimiento anual
DNI,78901234G,Raúl,Herrera Gil,688999000,raul.herrera@example.com,1987-03-18,"C/ Uría 45, Oviedo",1,HIST-0009,,
DNI,89012345H,Sara,Iglesias Núñez,699000111,sara.iglesias@example.com,1998-05-22,"C/ Real 5, A Coruña",1,HIST-0010,,
DNI,90123456J,Óscar,Castro Vidal,610111222,oscar.castro@example.com,1972-08-09,"C/ Ercilla 12, Bilbao",1,HIST-0011,Ibuprofeno,
NIE,Y7654321Z,Elena,Pinto León,621222333,elena.pinto@example.com,1983-10-11,"C/ Zaragoza 2, Zaragoza",1,HIST-0012,,
DNI,11223344K,Adrián,Fuentes Soto,632333444,adrian.fuentes@example.com,2000-01-05,"C/ Alfonso I 77, Zaragoza",1,HIST-0013,,
DNI,22334455L,Nuria,Calvo Martín,643444555,nuria.calvo@example.com,1979-04-28,"C/ Santiago 19, Vigo",1,HIST-0014,,
DNI,33445566M,Manuel,Ortega Sanz,654555666,manuel.ortega@example.com,1968-02-14,"C/ Serrano 88, Madrid",1,HIST-0015,Polen,
DNI,44556677N,Patricia,Molina Cruz,665666777,patricia.molina@example.com,1991-07-19,"C/ San Fernando 21, Cádiz",1,HIST-0016,,
DNI,55667788P,Jesús,Santos Vidal,676777888,jesus.santos@example.com,1986-09-02,"C/ Jaime III 9, Palma",1,HIST-0017,,
DNI,66778899Q,Claudia,Rey Campos,687888999,claudia.rey@example.com,1993-12-10,"C/ Constitución 6, León",1,HIST-0018,Marisco,
DNI,77889900R,Álvaro,Blanco Iglesias,698999000,alvaro.blanco@example.com,1980-06-25,"C/ Tetuán 40, Córdoba",1,HIST-0019,,
DNI,88990011S,Cristina,Domínguez Arias,609101112,cristina.dominguez@example.com,1997-11-29,"C/ Zurbarán 15, Badajoz",1,HIST-0020,,
DNI,99001122T,Ángela,Méndez Ríos,620121314,angela.mendez@example.com,1976-03-07,"C/ Ancha 102, Sanlúcar",1,HIST-0021,,
DNI,10111213U,Hugo,Delgado Marín,631131415,hugo.delgado@example.com,1988-08-23,"C/ Ochoa 18, Granada",1,HIST-0022,,
DNI,12131415V,Teresa,Carrasco Díaz,642141516,teresa.carrasco@example.com,1984-05-16,"C/ Compostela 30, Santiago",1,HIST-0023,,
DNI,13141516W,Marcos,Suárez Ramos,653151617,marcos.suarez@example.com,1996-02-02,"C/ Libertad 11, Santander",1,HIST-0024,Gluten,
